input,the_rank,recommendation,type1,type2,abilities,generation,learn_more
Dusclops,10,Cosmoem,psychic,,Sturdy,7,https://pokemondb.net/pokedex/Cosmoem
Dusknoir,1,Dusclops,ghost,,"Pressure, Frisk",3,https://pokemondb.net/pokedex/Dusclops
Dusknoir,2,Toxapex,poison,water,"Merciless, Limber, Regenerator",7,https://pokemondb.net/pokedex/Toxapex
Dusknoir,3,Sableye,dark,ghost,"Keen Eye, Stall, Prankster",3,https://pokemondb.net/pokedex/Sableye
Dusknoir,4,Bronzong,steel,psychic,"Levitate, Heatproof, Heavy Metal",4,https://pokemondb.net/pokedex/Bronzong
Dusknoir,5,Scrafty,dark,fighting,"Shed Skin, Moxie, Intimidate",5,https://pokemondb.net/pokedex/Scrafty
Dusknoir,6,Ferrothorn,grass,steel,"Iron Barbs, Anticipation",5,https://pokemondb.net/pokedex/Ferrothorn
Dusknoir,7,Spiritomb,ghost,dark,"Pressure, Infiltrator",4,https://pokemondb.net/pokedex/Spiritomb
Dusknoir,8,Probopass,rock,steel,"Sturdy, Magnet Pull, Sand Force",4,https://pokemondb.net/pokedex/Probopass
Dusknoir,9,Registeel,steel,,"Clear Body, Light Metal",3,https://pokemondb.net/pokedex/Registeel
Dusknoir,10,Carbink,rock,fairy,"Clear Body, Sturdy",6,https://pokemondb.net/pokedex/Carbink
Duskull,1,Ferroseed,grass,steel,Iron Barbs,5,https://pokemondb.net/pokedex/Ferroseed
Duskull,2,Whirlipede,bug,poison,"Poison Point, Swarm, Speed Boost",5,https://pokemondb.net/pokedex/Whirlipede
Duskull,3,Yamask,ghost,,Mummy,5,https://pokemondb.net/pokedex/Yamask
Duskull,4,Beldum,steel,psychic,"Clear Body, Light Metal",3,https://pokemondb.net/pokedex/Beldum
Duskull,5,Shelmet,bug,,"Hydration, Shell Armor, Overcoat",5,https://pokemondb.net/pokedex/Shelmet
Duskull,6,Bronzor,steel,psychic,"Levitate, Heatproof, Heavy Metal",4,https://pokemondb.net/pokedex/Bronzor
Duskull,7,Togepi,fairy,,"Hustle, Serene Grace, Super Luck",2,https://pokemondb.net/pokedex/Togepi
Duskull,8,Dewpider,water,bug,"Water Bubble, Water Absorb",7,https://pokemondb.net/pokedex/Dewpider
Duskull,9,Klink,steel,,"Plus, Minus, Clear Body",5,https://pokemondb.net/pokedex/Klink
Duskull,10,Swablu,normal,flying,"Natural Cure, Cloud Nine",3,https://pokemondb.net/pokedex/Swablu
Dustox,1,Vullaby,dark,flying,"Big Pecks, Overcoat, Weak Armor",5,https://pokemondb.net/pokedex/Vullaby
Dustox,2,Swablu,normal,flying,"Natural Cure, Cloud Nine",3,https://pokemondb.net/pokedex/Swablu
Dustox,3,Lombre,water,grass,"Swift Swim, Rain Dish, Own Tempo",3,https://pokemondb.net/pokedex/Lombre
Dustox,4,Trubbish,poison,,"Stench, Sticky Hold, Aftermath",5,https://pokemondb.net/pokedex/Trubbish
Dustox,5,Seel,water,,"Thick Fat, Hydration, Ice Body",1,https://pokemondb.net/pokedex/Seel
Dustox,6,Drowzee,psychic,,"Insomnia, Forewarn, Inner Focus",1,https://pokemondb.net/pokedex/Drowzee
Dustox,7,Eevee,normal,,"Run Away, Adaptability, Anticipation",1,https://pokemondb.net/pokedex/Eevee
Dustox,8,Finneon,water,,"Swift Swim, Storm Drain, Water Veil",4,https://pokemondb.net/pokedex/Finneon
Dustox,9,Spinda,normal,,"Own Tempo, Tangled Feet, Contrary",3,https://pokemondb.net/pokedex/Spinda
Dustox,10,Frillish,water,ghost,"Water Absorb, Cursed Body, Damp",5,https://pokemondb.net/pokedex/Frillish
Dwebble,1,Pawniard,dark,steel,"Defiant, Inner Focus, Pressure",5,https://pokemondb.net/pokedex/Pawniard
Dwebble,2,Bagon,dragon,,"Rock Head, Sheer Force",3,https://pokemondb.net/pokedex/Bagon
Dwebble,3,Jangmo-o,dragon,,"Bulletproof, Soundproof, Overcoat",7,https://pokemondb.net/pokedex/Jangmo-o
Dwebble,4,Bergmite,ice,,"Own Tempo, Ice Body, Sturdy",6,https://pokemondb.net/pokedex/Bergmite
Dwebble,5,Totodile,water,,"Torrent, Sheer Force",2,https://pokemondb.net/pokedex/Totodile
Dwebble,6,Sandshrew,ground,ice,"Sand Veil, Sand Rush, Snow Cloak, Slush Rush",1,https://pokemondb.net/pokedex/Sandshrew
Dwebble,7,Tyrunt,rock,dragon,"Strong Jaw, Sturdy",6,https://pokemondb.net/pokedex/Tyrunt
Dwebble,8,Skorupi,poison,bug,"Battle Armor, Sniper, Keen Eye",4,https://pokemondb.net/pokedex/Skorupi
Dwebble,9,Goldeen,water,,"Swift Swim, Water Veil, Lightningrod",1,https://pokemondb.net/pokedex/Goldeen
Dwebble,10,Aron,steel,rock,"Sturdy, Rock Head, Heavy Metal",3,https://pokemondb.net/pokedex/Aron
Eelektrik,1,Ariados,bug,poison,"Swarm, Insomnia, Sniper",2,https://pokemondb.net/pokedex/Ariados
Eelektrik,2,Pupitar,rock,ground,Shed Skin,2,https://pokemondb.net/pokedex/Pupitar
Eelektrik,3,Marshtomp,water,ground,"Torrent, Damp",3,https://pokemondb.net/pokedex/Marshtomp
Eelektrik,4,Zweilous,dark,dragon,Hustle,5,https://pokemondb.net/pokedex/Zweilous
Eelektrik,5,Dartrix,grass,flying,"Overgrow, Long Reach",7,https://pokemondb.net/pokedex/Dartrix
Eelektrik,6,Carnivine,grass,,Levitate,4,https://pokemondb.net/pokedex/Carnivine
Eelektrik,7,Parasect,bug,grass,"Effect Spore, Dry Skin, Damp",1,https://pokemondb.net/pokedex/Parasect
Eelektrik,8,Croconaw,water,,"Torrent, Sheer Force",2,https://pokemondb.net/pokedex/Croconaw
Eelektrik,9,Grotle,grass,,"Overgrow, Shell Armor",4,https://pokemondb.net/pokedex/Grotle
Eelektrik,10,Charjabug,bug,electric,Battery,7,https://pokemondb.net/pokedex/Charjabug
Eelektross,1,Octillery,water,,"Suction Cups, Sniper, Moody",2,https://pokemondb.net/pokedex/Octillery
Eelektross,2,Luxray,electric,,"Rivalry, Intimidate, Guts",4,https://pokemondb.net/pokedex/Luxray
Eelektross,3,Carnivine,grass,,Levitate,4,https://pokemondb.net/pokedex/Carnivine
Eelektross,4,Incineroar,fire,dark,"Blaze, Intimidate",7,https://pokemondb.net/pokedex/Incineroar
Eelektross,5,Toucannon,normal,flying,"Keen Eye, Skill Link, Sheer Force",7,https://pokemondb.net/pokedex/Toucannon
Eelektross,6,Ursaring,normal,,"Guts, Quick Feet, Unnerve",2,https://pokemondb.net/pokedex/Ursaring
Eelektross,7,Lurantis,grass,,"Leaf Guard, Contrary",7,https://pokemondb.net/pokedex/Lurantis
Eelektross,8,Beartic,ice,,"Snow Cloak, Slush Rush, Swift Swim",5,https://pokemondb.net/pokedex/Beartic
Eelektross,9,Dhelmise,ghost,grass,Steelworker,7,https://pokemondb.net/pokedex/Dhelmise
Eelektross,10,Trevenant,ghost,grass,"Natural Cure, Frisk, Harvest",6,https://pokemondb.net/pokedex/Trevenant
Eevee,1,Finneon,water,,"Swift Swim, Storm Drain, Water Veil",4,https://pokemondb.net/pokedex/Finneon
Eevee,2,Venonat,bug,poison,"Compoundeyes, Tinted Lens, Run Away",1,https://pokemondb.net/pokedex/Venonat
Eevee,3,Lombre,water,grass,"Swift Swim, Rain Dish, Own Tempo",3,https://pokemondb.net/pokedex/Lombre
Eevee,4,Trubbish,poison,,"Stench, Sticky Hold, Aftermath",5,https://pokemondb.net/pokedex/Trubbish
Eevee,5,Snorunt,ice,,"Inner Focus, Ice Body, Moody",3,https://pokemondb.net/pokedex/Snorunt
Eevee,6,Seel,water,,"Thick Fat, Hydration, Ice Body",1,https://pokemondb.net/pokedex/Seel
Eevee,7,Spinda,normal,,"Own Tempo, Tangled Feet, Contrary",3,https://pokemondb.net/pokedex/Spinda
Eevee,8,Snivy,grass,,"Overgrow, Contrary",5,https://pokemondb.net/pokedex/Snivy
Eevee,9,Ducklett,water,flying,"Keen Eye, Big Pecks, Hydration",5,https://pokemondb.net/pokedex/Ducklett
Eevee,10,Clauncher,water,,Mega Launcher,6,https://pokemondb.net/pokedex/Clauncher
Ekans,1,Dratini,dragon,,"Shed Skin, Marvel Scale",1,https://pokemondb.net/pokedex/Dratini
Ekans,2,Tynamo,electric,,Levitate,5,https://pokemondb.net/pokedex/Tynamo
Ekans,3,Riolu,fighting,,"Steadfast, Inner Focus, Prankster",4,https://pokemondb.net/pokedex/Riolu
Ekans,4,Lillipup,normal,,"Vital Spirit, Pickup, Run Away",5,https://pokemondb.net/pokedex/Lillipup
Ekans,5,Nidoran♂,poison,,"Poison Point, Rivalry, Hustle",1,https://pokemondb.net/pokedex/Nidoran♂
Ekans,6,Rockruff,rock,,"Keen Eye, Vital Spirit, Steadfast",7,https://pokemondb.net/pokedex/Rockruff
Ekans,7,Ditto,normal,,"Limber, Imposter",1,https://pokemondb.net/pokedex/Ditto
Ekans,8,Goldeen,water,,"Swift Swim, Water Veil, Lightningrod",1,https://pokemondb.net/pokedex/Goldeen
Ekans,9,Meditite,fighting,psychic,"Pure Power, Telepathy",3,https://pokemondb.net/pokedex/Meditite
Ekans,10,Snivy,grass,,"Overgrow, Contrary",5,https://pokemondb.net/pokedex/Snivy
Electabuzz,1,Raichu,electric,electric,"Static, Lightningrod, Surge Surfer",1,https://pokemondb.net/pokedex/Raichu
Electabuzz,2,Magmar,fire,,"Flame Body, Vital Spirit",1,https://pokemondb.net/pokedex/Magmar
Electabuzz,3,Xatu,psychic,flying,"Synchronize, Early Bird, Magic Bounce",2,https://pokemondb.net/pokedex/Xatu
Electabuzz,4,Rapidash,fire,,"Run Away, Flash Fire, Flame Body",1,https://pokemondb.net/pokedex/Rapidash
Electabuzz,5,Froslass,ice,ghost,"Snow Cloak, Cursed Body",4,https://pokemondb.net/pokedex/Froslass
Electabuzz,6,Venomoth,bug,poison,"Shield Dust, Tinted Lens, Wonder Skin ",1,https://pokemondb.net/pokedex/Venomoth
Electabuzz,7,Galvantula,bug,electric,"Compoundeyes, Unnerve, Swarm",5,https://pokemondb.net/pokedex/Galvantula
Electabuzz,8,Typhlosion,fire,,"Blaze, Flash Fire",2,https://pokemondb.net/pokedex/Typhlosion
Electabuzz,9,Swanna,water,flying,"Keen Eye, Big Pecks, Hydration",5,https://pokemondb.net/pokedex/Swanna
Electabuzz,10,Oricorio,fire,flying,Dancer,7,https://pokemondb.net/pokedex/Oricorio
Electivire,1,Arcanine,fire,,"Intimidate, Flash Fire, Justified",1,https://pokemondb.net/pokedex/Arcanine
Electivire,2,Glalie,ice,,"Inner Focus, Ice Body, Moody",3,https://pokemondb.net/pokedex/Glalie
Electivire,3,Sharpedo,water,dark,"Rough Skin, Speed Boost",3,https://pokemondb.net/pokedex/Sharpedo
Electivire,4,Archeops,rock,flying,Defeatist,5,https://pokemondb.net/pokedex/Archeops
Electivire,5,Decidueye,grass,ghost,"Overgrow, Long Reach",7,https://pokemondb.net/pokedex/Decidueye
Electivire,6,Landorus,ground,flying,"Sand Force, Sheer Force, Intimidate",5,https://pokemondb.net/pokedex/Landorus
Electivire,7,Genesect,bug,steel,Download,5,https://pokemondb.net/pokedex/Genesect
Electivire,8,Azelf,psychic,,Levitate,4,https://pokemondb.net/pokedex/Azelf
Electivire,9,Terrakion,rock,fighting,Justified,5,https://pokemondb.net/pokedex/Terrakion
Electivire,10,Tornadus,flying,,"Prankster, Defiant, Regenerator",5,https://pokemondb.net/pokedex/Tornadus
Electrike,1,Natu,psychic,flying,"Synchronize, Early Bird, Magic Bounce",2,https://pokemondb.net/pokedex/Natu
Electrike,2,Helioptile,electric,normal,"Dry Skin, Sand Veil, Solar Power",6,https://pokemondb.net/pokedex/Helioptile
Electrike,3,Froakie,water,,"Torrent, Protean",6,https://pokemondb.net/pokedex/Froakie
Electrike,4,Charmander,fire,,"Blaze, Solar Power",1,https://pokemondb.net/pokedex/Charmander
Electrike,5,Cyndaquil,fire,,"Blaze, Flash Fire",2,https://pokemondb.net/pokedex/Cyndaquil
Electrike,6,Purrloin,dark,,"Limber, Unburden, Prankster",5,https://pokemondb.net/pokedex/Purrloin
Electrike,7,Chimchar,fire,,"Blaze, Iron Fist",4,https://pokemondb.net/pokedex/Chimchar
Electrike,8,Salandit,poison,fire,"Corrosion, Oblivious",7,https://pokemondb.net/pokedex/Salandit
Electrike,9,Delibird,ice,flying,"Vital Spirit, Hustle, Insomnia",2,https://pokemondb.net/pokedex/Delibird
Electrike,10,Treecko,grass,,"Overgrow, Unburden",3,https://pokemondb.net/pokedex/Treecko
Electrode,1,Ribombee,bug,fairy,"Honey Gather, Shield Dust, Sweet Veil",7,https://pokemondb.net/pokedex/Ribombee
Electrode,2,Whimsicott,grass,fairy,"Prankster, Infiltrator, Chlorophyll",5,https://pokemondb.net/pokedex/Whimsicott
Electrode,3,Jolteon,electric,,"Volt Absorb, Quick Feet",1,https://pokemondb.net/pokedex/Jolteon
Electrode,4,Persian,normal,dark,"Limber, Technician, Unnerve, Fur Coat, Technician, Rattled",1,https://pokemondb.net/pokedex/Persian
Electrode,5,Talonflame,fire,flying,"Flame Body, Gale Wings",6,https://pokemondb.net/pokedex/Talonflame
Electrode,6,Noivern,flying,dragon,"Frisk, Infiltrator, Telepathy",6,https://pokemondb.net/pokedex/Noivern
Electrode,7,Swoobat,psychic,flying,"Unaware, Klutz, Simple",5,https://pokemondb.net/pokedex/Swoobat
Electrode,8,Starmie,water,psychic,"Illuminate, Natural Cure, Analytic",1,https://pokemondb.net/pokedex/Starmie
Electrode,9,Accelgor,bug,,"Hydration, Sticky Hold, Unburden",5,https://pokemondb.net/pokedex/Accelgor
Electrode,10,Meowstic,psychic,,"Keen Eye, Infiltrator, Prankster, Competitive",6,https://pokemondb.net/pokedex/Meowstic
Elekid,1,Magby,fire,,"Flame Body, Vital Spirit",2,https://pokemondb.net/pokedex/Magby
Elekid,2,Grovyle,grass,,"Overgrow, Unburden",3,https://pokemondb.net/pokedex/Grovyle
Elekid,3,Frogadier,water,,"Torrent, Protean",6,https://pokemondb.net/pokedex/Frogadier
Elekid,4,Yanma,bug,flying,"Speed Boost, Compoundeyes, Frisk",2,https://pokemondb.net/pokedex/Yanma
Elekid,5,Ponyta,fire,,"Run Away, Flash Fire, Flame Body",1,https://pokemondb.net/pokedex/Ponyta
Elekid,6,Emolga,electric,flying,"Static, Motor Drive",5,https://pokemondb.net/pokedex/Emolga
Elekid,7,Fletchinder,fire,flying,"Flame Body, Gale Wings",6,https://pokemondb.net/pokedex/Fletchinder
Elekid,8,Quilava,fire,,"Blaze, Flash Fire",2,https://pokemondb.net/pokedex/Quilava
Elekid,9,Charmeleon,fire,,"Blaze, Solar Power",1,https://pokemondb.net/pokedex/Charmeleon
Elekid,10,Monferno,fire,fighting,"Blaze, Iron Fist",4,https://pokemondb.net/pokedex/Monferno
Elgyem,1,Oddish,grass,poison,"Chlorophyll, Run Away",1,https://pokemondb.net/pokedex/Oddish
Elgyem,2,Popplio,water,,"Torrent, Liquid Voice",7,https://pokemondb.net/pokedex/Popplio
Elgyem,3,Flaaffy,electric,,"Static, Plus",2,https://pokemondb.net/pokedex/Flaaffy
Elgyem,4,Piplup,water,,"Torrent, Defiant",4,https://pokemondb.net/pokedex/Piplup
Elgyem,5,Skrelp,poison,water,"Poison Point, Poison Touch, Adaptability",6,https://pokemondb.net/pokedex/Skrelp
Elgyem,6,Snover,grass,ice,"Snow Warning, Soundproof",4,https://pokemondb.net/pokedex/Snover
Elgyem,7,Petilil,grass,,"Chlorophyll, Own Tempo, Leaf Guard",5,https://pokemondb.net/pokedex/Petilil
Elgyem,8,Numel,fire,ground,"Oblivious, Simple, Own Tempo",3,https://pokemondb.net/pokedex/Numel
Elgyem,9,Torchic,fire,,"Blaze, Speed Boost",3,https://pokemondb.net/pokedex/Torchic
Elgyem,10,Oshawott,water,,"Torrent, Shell Armor",5,https://pokemondb.net/pokedex/Oshawott
Emboar,1,Gogoat,grass,,"Sap Sipper, Grass Pelt",6,https://pokemondb.net/pokedex/Gogoat
Emboar,2,Exploud,normal,,"Soundproof, Scrappy",3,https://pokemondb.net/pokedex/Exploud
Emboar,3,Seismitoad,water,ground,"Swift Swim, Poison Touch, Water Absorb",5,https://pokemondb.net/pokedex/Seismitoad
Emboar,4,Whiscash,water,ground,"Oblivious, Anticipation, Hydration",3,https://pokemondb.net/pokedex/Whiscash
Emboar,5,Gastrodon,water,ground,"Sticky Hold, Storm Drain, Sand Force",4,https://pokemondb.net/pokedex/Gastrodon
Emboar,6,Walrein,ice,water,"Thick Fat, Ice Body, Oblivious",3,https://pokemondb.net/pokedex/Walrein
Emboar,7,Aurorus,rock,ice,"Refrigerate, Snow Warning",6,https://pokemondb.net/pokedex/Aurorus
Emboar,8,Amoonguss,grass,poison,"Effect Spore, Regenerator",5,https://pokemondb.net/pokedex/Amoonguss
Emboar,9,Muk,poison,poison,"Stench, Sticky Hold, Poison Touch, Poison Touch, Gluttony, Power of Alchemy",1,https://pokemondb.net/pokedex/Muk
Emboar,10,Lapras,water,ice,"Water Absorb, Shell Armor, Hydration",1,https://pokemondb.net/pokedex/Lapras
Emolga,1,Frogadier,water,,"Torrent, Protean",6,https://pokemondb.net/pokedex/Frogadier
Emolga,2,Ponyta,fire,,"Run Away, Flash Fire, Flame Body",1,https://pokemondb.net/pokedex/Ponyta
Emolga,3,Persian,normal,dark,"Limber, Technician, Unnerve, Fur Coat, Technician, Rattled",1,https://pokemondb.net/pokedex/Persian
Emolga,4,Grovyle,grass,,"Overgrow, Unburden",3,https://pokemondb.net/pokedex/Grovyle
Emolga,5,Fearow,normal,flying,"Keen Eye, Sniper",1,https://pokemondb.net/pokedex/Fearow
Emolga,6,Dedenne,electric,fairy,"Cheek Pouch, Pickup, Plus",6,https://pokemondb.net/pokedex/Dedenne
Emolga,7,Purugly,normal,,"Thick Fat, Own Tempo, Defiant",4,https://pokemondb.net/pokedex/Purugly
Emolga,8,Froslass,ice,ghost,"Snow Cloak, Cursed Body",4,https://pokemondb.net/pokedex/Froslass
Emolga,9,Liepard,dark,,"Limber, Unburden, Prankster",5,https://pokemondb.net/pokedex/Liepard
Emolga,10,Torracat,fire,,"Blaze, Intimidate",7,https://pokemondb.net/pokedex/Torracat
Empoleon,1,Porygon2,normal,,"Trace, Download, Analytic",2,https://pokemondb.net/pokedex/Porygon2
Empoleon,2,Vileplume,grass,poison,"Chlorophyll, Effect Spore",1,https://pokemondb.net/pokedex/Vileplume
Empoleon,3,Type: Null,normal,,Battle Armor,7,https://pokemondb.net/pokedex/Type: Null
Empoleon,4,Clawitzer,water,,Mega Launcher,6,https://pokemondb.net/pokedex/Clawitzer
Empoleon,5,Bellossom,grass,,"Chlorophyll, Healer",2,https://pokemondb.net/pokedex/Bellossom
Empoleon,6,Primarina,water,fairy,"Torrent, Liquid Voice",7,https://pokemondb.net/pokedex/Primarina
Empoleon,7,Politoed,water,,"Water Absorb, Damp, Drizzle",2,https://pokemondb.net/pokedex/Politoed
Empoleon,8,Beheeyem,psychic,,"Telepathy, Synchronize, Analytic",5,https://pokemondb.net/pokedex/Beheeyem
Empoleon,9,Ludicolo,water,grass,"Swift Swim, Rain Dish, Own Tempo",3,https://pokemondb.net/pokedex/Ludicolo
Empoleon,10,Oranguru,normal,psychic,"Inner Focus, Telepathy, Symbiosis",7,https://pokemondb.net/pokedex/Oranguru
Entei,1,Arcanine,fire,,"Intimidate, Flash Fire, Justified",1,https://pokemondb.net/pokedex/Arcanine
Entei,2,Meloetta,normal,psychic,Serene Grace,5,https://pokemondb.net/pokedex/Meloetta
Entei,3,Silvally,normal,,RKS System,7,https://pokemondb.net/pokedex/Silvally
Entei,4,Celebi,psychic,grass,Natural Cure,2,https://pokemondb.net/pokedex/Celebi
Entei,5,Mew,psychic,,Synchronize,1,https://pokemondb.net/pokedex/Mew
Entei,6,Manaphy,water,,Hydration,4,https://pokemondb.net/pokedex/Manaphy
Entei,7,Victini,psychic,fire,Victory Star,5,https://pokemondb.net/pokedex/Victini
Entei,8,Jirachi,steel,psychic,Serene Grace,3,https://pokemondb.net/pokedex/Jirachi
Entei,9,Terrakion,rock,fighting,Justified,5,https://pokemondb.net/pokedex/Terrakion
Entei,10,Kangaskhan,normal,,"Early Bird, Scrappy, Inner Focus",1,https://pokemondb.net/pokedex/Kangaskhan
Escavalier,1,Dhelmise,ghost,grass,Steelworker,7,https://pokemondb.net/pokedex/Dhelmise
Escavalier,2,Druddigon,dragon,,"Rough Skin, Sheer Force, Mold Breaker",5,https://pokemondb.net/pokedex/Druddigon
Escavalier,3,Armaldo,rock,bug,"Battle Armor, Swift Swim",3,https://pokemondb.net/pokedex/Armaldo
Escavalier,4,Gigalith,rock,,"Sturdy, Sand Stream, Sand Force",5,https://pokemondb.net/pokedex/Gigalith
Escavalier,5,Golisopod,bug,water,Emergency Exit,7,https://pokemondb.net/pokedex/Golisopod
Escavalier,6,Mudsdale,ground,,"Own Tempo, Stamina, Inner Focus",7,https://pokemondb.net/pokedex/Mudsdale
Escavalier,7,Lurantis,grass,,"Leaf Guard, Contrary",7,https://pokemondb.net/pokedex/Lurantis
Escavalier,8,Mawile,steel,fairy,"Hyper Cutter, Intimidate, Sheer Force",3,https://pokemondb.net/pokedex/Mawile
Escavalier,9,Crustle,bug,rock,"Sturdy, Shell Armor, Weak Armor",5,https://pokemondb.net/pokedex/Crustle
Escavalier,10,Machamp,fighting,,"Guts, No Guard, Steadfast",1,https://pokemondb.net/pokedex/Machamp
Espeon,1,Heliolisk,electric,normal,"Dry Skin, Sand Veil, Solar Power",6,https://pokemondb.net/pokedex/Heliolisk
Espeon,2,Delphox,fire,psychic,"Blaze, Magician",6,https://pokemondb.net/pokedex/Delphox
Espeon,3,Roserade,grass,poison,"Natural Cure, Poison Point, Technician",4,https://pokemondb.net/pokedex/Roserade
Espeon,4,Mismagius,ghost,,Levitate,4,https://pokemondb.net/pokedex/Mismagius
Espeon,5,Jolteon,electric,,"Volt Absorb, Quick Feet",1,https://pokemondb.net/pokedex/Jolteon
Espeon,6,Jynx,ice,psychic,"Oblivious, Forewarn, Dry Skin",1,https://pokemondb.net/pokedex/Jynx
Espeon,7,Typhlosion,fire,,"Blaze, Flash Fire",2,https://pokemondb.net/pokedex/Typhlosion
Espeon,8,Electabuzz,electric,,"Static, Vital Spirit",1,https://pokemondb.net/pokedex/Electabuzz
Espeon,9,Lilligant,grass,,"Chlorophyll, Own Tempo, Leaf Guard",5,https://pokemondb.net/pokedex/Lilligant
Espeon,10,Sigilyph,psychic,flying,"Wonder Skin , Magic Guard, Tinted Lens",5,https://pokemondb.net/pokedex/Sigilyph
Espurr,1,Litleo,fire,normal,"Rivalry, Unnerve, Moxie",6,https://pokemondb.net/pokedex/Litleo
Espurr,2,Spinda,normal,,"Own Tempo, Tangled Feet, Contrary",3,https://pokemondb.net/pokedex/Spinda
Espurr,3,Joltik,bug,electric,"Compoundeyes, Unnerve, Swarm",5,https://pokemondb.net/pokedex/Joltik
Espurr,4,Finneon,water,,"Swift Swim, Storm Drain, Water Veil",4,https://pokemondb.net/pokedex/Finneon
Espurr,5,Pidgeotto,normal,flying,"Keen Eye, Tangled Feet, Big Pecks",1,https://pokemondb.net/pokedex/Pidgeotto
Espurr,6,Lombre,water,grass,"Swift Swim, Rain Dish, Own Tempo",3,https://pokemondb.net/pokedex/Lombre
Espurr,7,Pansage,grass,,"Gluttony, Overgrow",5,https://pokemondb.net/pokedex/Pansage
Espurr,8,Pansear,fire,,"Gluttony, Blaze",5,https://pokemondb.net/pokedex/Pansear
Espurr,9,Panpour,water,,"Gluttony, Torrent",5,https://pokemondb.net/pokedex/Panpour
Espurr,10,Psyduck,water,,"Damp, Cloud Nine, Swift Swim",1,https://pokemondb.net/pokedex/Psyduck
Excadrill,1,Braviary,normal,flying,"Keen Eye, Sheer Force, Defiant",5,https://pokemondb.net/pokedex/Braviary
Excadrill,2,Mamoswine,ice,ground,"Oblivious, Snow Cloak, Thick Fat",4,https://pokemondb.net/pokedex/Mamoswine
Excadrill,3,Krookodile,ground,dark,"Intimidate, Moxie, Anger Point",5,https://pokemondb.net/pokedex/Krookodile
Excadrill,4,Passimian,fighting,,"Receiver, Defiant",7,https://pokemondb.net/pokedex/Passimian
Excadrill,5,Bewear,normal,fighting,"Fluffy, Klutz, Unnerve",7,https://pokemondb.net/pokedex/Bewear
Excadrill,6,Lycanroc,rock,,"Keen Eye, Sand Rush, Steadfast, Keen Eye, Vital Spirit, No Guard",7,https://pokemondb.net/pokedex/Lycanroc
Excadrill,7,Pangoro,fighting,dark,"Iron Fist, Mold Breaker, Scrappy",6,https://pokemondb.net/pokedex/Pangoro
Excadrill,8,Sawk,fighting,,"Sturdy, Inner Focus, Mold Breaker",5,https://pokemondb.net/pokedex/Sawk
Excadrill,9,Rampardos,rock,,"Mold Breaker, Sheer Force",4,https://pokemondb.net/pokedex/Rampardos
Excadrill,10,Golurk,ground,ghost,"Iron Fist, Klutz, No Guard",5,https://pokemondb.net/pokedex/Golurk
Exeggcute,1,Swirlix,fairy,,"Sweet Veil, Unburden",6,https://pokemondb.net/pokedex/Swirlix
Exeggcute,2,Chespin,grass,,"Overgrow, Bulletproof",6,https://pokemondb.net/pokedex/Chespin
Exeggcute,3,Cubone,ground,,"Rock Head, Lightningrod, Battle Armor",1,https://pokemondb.net/pokedex/Cubone
Exeggcute,4,Mareanie,poison,water,"Merciless, Limber, Regenerator",7,https://pokemondb.net/pokedex/Mareanie
Exeggcute,5,Jangmo-o,dragon,,"Bulletproof, Soundproof, Overcoat",7,https://pokemondb.net/pokedex/Jangmo-o
Exeggcute,6,Clauncher,water,,Mega Launcher,6,https://pokemondb.net/pokedex/Clauncher
Exeggcute,7,Sandygast,ghost,ground,"Water Compaction, Sand Veil",7,https://pokemondb.net/pokedex/Sandygast
Exeggcute,8,Rowlet,grass,flying,"Overgrow, Long Reach",7,https://pokemondb.net/pokedex/Rowlet
Exeggcute,9,Piplup,water,,"Torrent, Defiant",4,https://pokemondb.net/pokedex/Piplup
Exeggcute,10,Shroomish,grass,,"Effect Spore, Poison Heal, Quick Feet",3,https://pokemondb.net/pokedex/Shroomish
Exeggutor,1,Samurott,water,,"Torrent, Shell Armor",5,https://pokemondb.net/pokedex/Samurott
Exeggutor,2,Celesteela,steel,flying,Beast Boost,7,https://pokemondb.net/pokedex/Celesteela
Exeggutor,3,Necrozma,psychic,,Prism Armor,7,https://pokemondb.net/pokedex/Necrozma
Exeggutor,4,Abomasnow,grass,ice,"Snow Warning, Soundproof",4,https://pokemondb.net/pokedex/Abomasnow
Exeggutor,5,Moltres,fire,flying,"Pressure, Flame Body",1,https://pokemondb.net/pokedex/Moltres
Exeggutor,6,Decidueye,grass,ghost,"Overgrow, Long Reach",7,https://pokemondb.net/pokedex/Decidueye
Exeggutor,7,Volcanion,fire,water,Water Absorb,6,https://pokemondb.net/pokedex/Volcanion
Exeggutor,8,Vanilluxe,ice,,"Ice Body, Snow Warning, Weak Armor",5,https://pokemondb.net/pokedex/Vanilluxe
Exeggutor,9,Heatran,fire,steel,"Flash Fire, Flame Body",4,https://pokemondb.net/pokedex/Heatran
Exeggutor,10,Magmortar,fire,,"Flame Body, Vital Spirit",4,https://pokemondb.net/pokedex/Magmortar
Exploud,1,Seismitoad,water,ground,"Swift Swim, Poison Touch, Water Absorb",5,https://pokemondb.net/pokedex/Seismitoad
Exploud,2,Whiscash,water,ground,"Oblivious, Anticipation, Hydration",3,https://pokemondb.net/pokedex/Whiscash
Exploud,3,Gogoat,grass,,"Sap Sipper, Grass Pelt",6,https://pokemondb.net/pokedex/Gogoat
Exploud,4,Clefable,fairy,,"Cute Charm, Magic Guard, Unaware",1,https://pokemondb.net/pokedex/Clefable
